iter	RMSE
0	0.01937854828
1	0.01935691087
2	0.01933663419
3	0.01931848081
4	0.01930109093
5	0.01928580445
6	0.01926980995
7	0.01925332941
8	0.01923787747
9	0.01922483757
10	0.01921153129
11	0.01919950107
12	0.01918700203
13	0.01917695301
14	0.01916768865
15	0.0191579545
16	0.01915027318
17	0.01914102705
18	0.01913276948
19	0.01912412627
20	0.01911774736
21	0.01910992428
22	0.01910282855
23	0.01909582798
24	0.01908986647
25	0.01908344062
26	0.01907593364
27	0.01907000846
28	0.01906285718
29	0.01905641939
30	0.01904946652
31	0.01904351492
32	0.01903739583
33	0.01903095055
34	0.01902576439
35	0.01902117431
36	0.01901672008
37	0.01901198455
38	0.01900663694
39	0.01900269645
40	0.01899980193
41	0.01899642406
42	0.01899172148
43	0.01898678548
44	0.01898248272
45	0.01897875699
46	0.01897547501
47	0.01897346393
48	0.01896920249
49	0.01896532534
50	0.01896221826
51	0.01895831367
52	0.01895375095
53	0.01895014431
54	0.01894530688
55	0.01894169426
56	0.01893784411
57	0.01893380994
58	0.01893028746
59	0.0189277858
60	0.01892612327
61	0.01892408815
62	0.01892071654
63	0.01891797533
64	0.01891458369
65	0.01891223143
66	0.01891011495
67	0.01890825143
68	0.01890540868
69	0.01890301011
70	0.0189008798
71	0.0188989128
72	0.01889694137
73	0.01889520301
74	0.01889238144
75	0.01888946057
76	0.0188877797
77	0.01888535719
78	0.0188840977
79	0.01888257186
80	0.01887952845
81	0.01887735406
82	0.01887586621
83	0.01887360276
84	0.01887158278
85	0.01886919092
86	0.01886614981
87	0.01886407836
88	0.01886233879
89	0.01886087169
90	0.01885834264
91	0.01885707085
92	0.01885412739
93	0.01885213102
94	0.01884965813
95	0.01884697105
96	0.01884484167
97	0.01884306162
98	0.0188405072
99	0.01883800513
